Gaussian Generator(1.0): mean=1.0,stDev=1.0
Gaussian Generator(1.5): mean=1.5,stDev=1.0
Gaussian Generator(2.0): mean=2.0,stDev=1.0
1.5, 1.2716642533414455
1.5, 2.0056901487407206
1.5, 2.378040320345889
1.5, 1.2414768374570966
2.0, 1.0908148151488737
1.5, 0.96165889128258
2.0, 3.2625055494272095
1.0, 2.469755483189768
1.0, 1.1707753062382378
2.0, 1.4529040443714212
1.0, 1.2257128084028757
1.5, 1.6592076419510513
2.0, 0.4100248387681287
2.0, 1.0741012328850896
1.5, -0.28296905111810045
2.0, 1.4981242557610999
1.5, 0.7016767520411245
1.0, 0.21870665138529677
2.0, 1.542540682340696
1.5, 2.559737772592654
2.0, 1.5971989089926006
1.5, 2.8343744588093163
2.0, -0.2589473346956872
2.0, 2.5126534635988236
1.5, 1.1374057484210154
2.0, 2.2592486615809766
2.0, 1.69861180399722
2.0, 2.3913418202847967
2.0, 1.3519913630285387
1.0, 0.7490698529162005
1.0, 0.9768922100078992
1.0, 1.6658602231846789
1.0, 2.753672724624043
1.0, 1.2968310026432122
2.0, 1.703912314983117
1.0, 0.5136107967293156
1.5, 1.1755867397294404
1.5, 1.4825702678825712
1.0, 0.8915236294086415
1.0, 0.5184584886550367
1.5, 1.210509093897207
1.0, 0.22642089516325126
1.5, 1.0852640662867108
1.0, 0.3671704694952074
1.5, 1.0111738655258342
1.5, 0.8495538321334377
1.0, 1.0928748048273813
1.0, 3.3033854018065516
2.0, 1.5128042399169748
1.5, 0.22617124097743035
1.0, 0.5787752042972061
1.0, -0.32677710898150814
1.0, 0.939384868242832
2.0, 1.866157805662821
2.0, 1.0400060769039645
2.0, 3.3011997512123754
1.0, 1.0256457901424527
1.5, 1.3610614102068144
2.0, 2.305626431318773
2.0, 2.549397778713284
1.0, 0.5041641831513728
1.0, 0.11543042885213506
1.5, 1.9581319574511995
2.0, 0.8185028590575965
1.5, 0.5065120436121967
1.5, -0.13228579392211848
1.5, 3.3383357236483184
2.0, 2.9048560434340085
2.0, 2.6195587171751193
1.5, 1.5129028949318435
2.0, 1.001484968341836
1.5, 1.5042540742498396
2.0, 2.64718920741724
1.5, 1.8368579790830353
2.0, 3.32690892897769
1.5, 2.072943006010756
1.0, 1.1179087791979598
1.0, 2.7355041982941772
2.0, 3.4749614961159407
1.5, 1.6333875778737579
1.0, -0.016679564669618507
1.5, 1.9428559075225178
2.0, 2.56050486741286
2.0, 2.5023651570802548
1.0, 1.036016248388261
1.0, -0.1423877722685576
2.0, 1.1859418793989804
2.0, 0.5216651176728111
1.0, 2.075961171684359
1.0, 1.5060884615000174
1.0, 0.07686653262843579
2.0, 4.095794558001499
1.5, 1.0968367476366603
1.0, 1.587132241899484
1.0, 0.17989559836798052
1.0, 0.41523742095602956
2.0, 2.2739039528211458
1.5, 1.9320884992040408
1.0, 0.6075097130137308
1.0, 0.9459945037514351
2.0, 3.9099630848738545
1.5, 2.3169889317692305
2.0, 3.8044611800932673
1.5, 2.533271447232
1.0, 1.9232481181359962
2.0, 3.615049759658464
2.0, 3.105647593839159
1.5, 0.24827345587028748
2.0, 3.0479557469022422
1.5, 0.30249107513721096
1.5, 1.3343197210287494
1.0, 1.0699494462156012
2.0, 1.3594980219368202
1.0, 1.328221904864546
1.5, 1.6406792318961942
1.5, 1.64674612155134
1.0, 1.1843259088994338
2.0, -0.5157424188315489
1.5, 1.4651953431469666
1.0, 0.24071727009445554
1.5, 2.7508176366601784
1.5, 1.6142623125494804
1.0, 0.12392181648136158
1.5, 2.2621154942821
1.5, 1.7123160647807698
1.0, -0.33975667172505264
1.0, 1.0434386668512237
2.0, 1.6577063266073873
1.0, 0.6738901436452377
1.5, 2.1209684311267063
2.0, 3.358040352613325
1.0, 1.624016214020906
1.5, 0.512972530281632
1.5, 0.5457559187707917
2.0, 1.9672079027817655
1.5, 0.5982974054087518
1.0, 0.9260557116805965
2.0, 2.083620983275147
2.0, 2.311096153751468
2.0, 1.5699779434294483
1.0, 1.1383282201807055
1.0, 2.1296120538338013
1.0, 2.4189010803971334
2.0, 2.5876908578932163
2.0, 2.635447626094385
1.0, 1.3588407774134839
2.0, 3.353120511725213
1.5, 3.2902821614229376
1.5, 1.6816268907255116
1.0, 2.2349164831560504
1.0, 1.9628437938305128
1.5, 1.7751692489485424
1.0, 0.6914467664595303
1.5, 2.091855614524457
2.0, 0.18011781877572708
1.0, 1.2290050718545285
1.5, 2.6169424110156347
2.0, 0.9276295481280303
1.0, 0.22007543414756658
1.0, 1.9092636993685144
1.0, -0.5803238667377908
1.0, 0.7624704325467874
1.5, 0.13903506574927094
2.0, 1.4607592145728812
